Entity,Code,Year,Emigrants from Afghanistan: Where did they move to?
Afghanistan,AFG,1990,Selected country
Afghanistan,AFG,1995,Selected country
Afghanistan,AFG,2000,Selected country
Afghanistan,AFG,2005,Selected country
Afghanistan,AFG,2010,Selected country
Afghanistan,AFG,2015,Selected country
Afghanistan,AFG,2020,Selected country
Afghanistan,AFG,2024,Selected country
Africa,,1990,1729
Africa,,1995,1122
Africa,,2000,734
Africa,,2005,679
Africa,,2010,1130
Africa,,2015,1632
Africa,,2020,2973
Africa,,2024,4424
Asia,,1990,7410906
Asia,,1995,4036056
Asia,,2000,4382902
Asia,,2005,3626624
Asia,,2010,4694214
Asia,,2015,4626676
Asia,,2020,4787621
Asia,,2024,6236041
Australia,AUS,1990,3929
Australia,AUS,1995,6337
Australia,AUS,2000,12511
Australia,AUS,2005,18919
Australia,AUS,2010,30763
Australia,AUS,2015,49616
Australia,AUS,2020,62531
Australia,AUS,2024,81506
Austria,AUT,1990,678
Austria,AUT,1995,1209
Austria,AUT,2000,2129
Austria,AUT,2005,4449
Austria,AUT,2010,8388
Austria,AUT,2015,27598
Austria,AUT,2020,42160
Austria,AUT,2024,54204
Azerbaijan,AZE,1990,11
Azerbaijan,AZE,1995,4
Azerbaijan,AZE,2000,573
Azerbaijan,AZE,2005,720
Azerbaijan,AZE,2010,631
Azerbaijan,AZE,2015,1008
Azerbaijan,AZE,2020,1236
Azerbaijan,AZE,2024,1419
Bahrain,BHR,1990,220
Bahrain,BHR,1995,245
Bahrain,BHR,2000,258
Bahrain,BHR,2005,376
Bahrain,BHR,2010,591
Bahrain,BHR,2015,663
Bahrain,BHR,2020,722
Bahrain,BHR,2024,772
Belarus,BLR,1990,140
Belarus,BLR,1995,216
Belarus,BLR,2000,292
Belarus,BLR,2005,281
Belarus,BLR,2010,270
Belarus,BLR,2015,282
Belarus,BLR,2020,277
Belarus,BLR,2024,274
Belgium,BEL,1990,431
Belgium,BEL,1995,985
Belgium,BEL,2000,1750
Belgium,BEL,2005,2710
Belgium,BEL,2010,5538
Belgium,BEL,2015,16526
Belgium,BEL,2020,28289
Belgium,BEL,2024,50906
Bolivia,BOL,1990,2
Bolivia,BOL,1995,1
Bolivia,BOL,2000,0
Bolivia,BOL,2005,1
Bolivia,BOL,2010,1
Bolivia,BOL,2015,2
Bolivia,BOL,2020,1
Bolivia,BOL,2024,1
Brazil,BRA,1990,76
Brazil,BRA,1995,71
Brazil,BRA,2000,70
Brazil,BRA,2005,77
Brazil,BRA,2010,74
Brazil,BRA,2015,156
Brazil,BRA,2020,381
